MatchScore,Title,Company,Location,PostedAt,IsRemote,URL,Source,Tags
3,Workforce Planning & Analysis Manager,Mammoth Brands,"New York City, New York",2026-03-10,False,https://www.adzuna.com/details/5660457916?utm_medium=api&utm_source=0f860342,Adzuna,Workforce Planning
3,Workforce Planning & Analysis Manager,Harry's,"New York City, New York",2026-03-11,False,https://www.adzuna.com/details/5662115523?utm_medium=api&utm_source=0f860342,Adzuna,Workforce Planning
3,Workforce Planning & Analysis Manager,Flamingo,"New York City, New York",2026-03-11,False,https://www.adzuna.com/details/5661798045?utm_medium=api&utm_source=0f860342,Adzuna,Workforce Planning
3,Workforce Planning & Analysis Manager,Lume Deodorant,"New York City, New York",2026-03-10,False,https://www.adzuna.com/details/5660452142?utm_medium=api&utm_source=0f860342,Adzuna,Workforce Planning
3,"Sr. Associate, Workforce Planning",dentsu,US,2026-02-22,False,https://www.adzuna.com/details/5641564966?utm_medium=api&utm_source=0f860342,Adzuna,Workforce Planning
3,"Product Lead, Workforce Planning",Take-Two Interactive Software,"Austin, Travis County",2026-03-12,False,https://www.adzuna.com/details/5663030473?utm_medium=api&utm_source=0f860342,Adzuna,Workforce Planning
3,Senior Workforce Planning Specialist,LEGO,"Tempe, Maricopa County",2026-03-12,False,https://www.adzuna.com/details/5663029120?utm_medium=api&utm_source=0f860342,Adzuna,Workforce Planning
3,Senior Workforce Planning & Budget Analyst,Abercrombie & Kent,"Aventura, Miami-Dade County",2026-03-13,False,https://www.adzuna.com/details/5663925161?utm_medium=api&utm_source=0f860342,Adzuna,Workforce Planning
3,Workforce Planning Systems & Integration Analyst,Autodesk,"Novi, Oakland County",2026-02-26,False,https://www.adzuna.com/land/ad/5646786015?se=9s60MaIj8RGNNvXIQ7TemA&utm_medium=api&utm_source=0f860342&v=75402A60BA4C37DC650789A5F5B1F189882BDA95,Adzuna,Workforce Planning
3,Workforce Planning Systems & Integration Analyst,Autodesk,"Glendale, Denver",2026-02-26,False,https://www.adzuna.com/land/ad/5646782487?se=9s60MaIj8RGNNvXIQ7TemA&utm_medium=api&utm_source=0f860342&v=3A810CFDEC10666A1A283D3930798FFAF9361C72,Adzuna,Workforce Planning
3,Chief of Staff,Amagi,"Bay County, FL",2026-03-15,False,https://jooble.org/jdp/3009169524348031271,Jooble,Chief of Staff
3,Chief of Staff,Vertical,"Santa Monica, CA",2026-03-16,False,https://jooble.org/jdp/5778768675298971452,Jooble,Chief of Staff
3,Chief of Staff,Kasa,"New York, NY",2026-03-06,False,https://jooble.org/jdp/-6094509551471677024,Jooble,Chief of Staff
3,Chief of Staff,Spark Car Wash,"Summit, NJ",2026-03-05,False,https://jooble.org/jdp/338163037104442871,Jooble,Chief of Staff
3,Chief of Staff,Global Citizen,"New York, NY",2026-03-13,False,https://jooble.org/jdp/4378091654243790418,Jooble,Chief of Staff
3,Chief of Staff,Confidential,"Indianapolis, IN",2026-03-17,False,https://jooble.org/jdp/-1732667270602740290,Jooble,Chief of Staff
3,Chief of Staff,Confidential,"Denver, CO",2026-03-14,False,https://jooble.org/jdp/845001054873846243,Jooble,Chief of Staff
3,Chief of Staff,Spruce,"New York, NY",2026-03-15,False,https://jooble.org/jdp/8141574338995833192,Jooble,Chief of Staff
3,Chief of Staff,"Raycon, Inc.","New York, NY",2026-02-22,False,https://jooble.org/jdp/4420869851646016166,Jooble,Chief of Staff
3,Chief of Staff,Goodpath,"Cambridge, MA",2026-03-16,False,https://jooble.org/jdp/-3382269870217814990,Jooble,Chief of Staff
3,Chief of Staff,Douglas Elliman Real Estate,"Miami Beach, FL",2026-03-15,False,https://jooble.org/jdp/-1496063525118507891,Jooble,Chief of Staff
3,Chief of Staff,The Fairness Project,"Seattle, WA",2026-03-15,False,https://jooble.org/jdp/-7222469034038852492,Jooble,Chief of Staff
3,Chief of Staff,GMMI Inc.,"San Diego, CA",2026-03-14,False,https://jooble.org/jdp/3747521438291234854,Jooble,Chief of Staff
3,Chief of Staff,Amentum,Washington DC,2026-03-15,False,https://jooble.org/jdp/-242549761904076905,Jooble,Chief of Staff
3,Chief of Staff,MLabs Ltd,"New York, NY",2026-03-17,False,https://jooble.org/jdp/-6684426169728493318,Jooble,Chief of Staff
3,Chief of Staff (m/w/d) mit Fokus auf Go-to-Market,Digetiers GmbH,"New Bremen, OH",2026-03-15,False,https://jooble.org/jdp/-2202943650829539906,Jooble,Chief of Staff
3,Senior Workforce Planning Specialist,Lego,"Tempe, AZ",2026-03-17,False,https://jooble.org/jdp/-5661486300154478111,Jooble,Workforce Planning
3,Sr Workforce Capacity Planner,Citizens Bank,"Johnston, RI",2026-03-17,False,https://jooble.org/jdp/-4056733857456530200,Jooble,Workforce Planning
3,Workforce Planning Specialist - Oahu,HAWAIIAN ELECTRIC CO.,"Honolulu, HI",2026-03-17,False,https://jooble.org/jdp/3754876688958890096,Jooble,Workforce Planning
3,Director of Strategic Workforce Planning,USAA Property and Casualty Insurance Group,"Charlotte, NC",2026-03-16,False,https://jooble.org/jdp/-3156709126320541875,Jooble,Workforce Planning
2,Organizational Effectiveness Consultant,Lake Michigan Credit Union,"Grand Rapids, Kent County",2026-02-25,True,https://www.adzuna.com/details/5645522733?utm_medium=api&utm_source=0f860342,Adzuna,Remote
2,Change Management Analyst,Maximus,"Conway, Faulkner County",2026-03-12,True,https://www.adzuna.com/land/ad/5663080018?se=KHXpM6Ij8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=B66A38C4451AC7B69E5FEC38D5A92D9D6E56400E,Adzuna,Remote
